organization,country,city,url,source_type
KTH,Sweden,,https://www.kth.se/lediga-jobb?l=en,html
NTNU,Norway,,https://www.ntnu.edu/vacancies,hub
Chalmers,Sweden,,https://www.chalmers.se/en/about-chalmers/work-with-us/vacancies/,javascript
Aalborg University,Denmark,,https://www.vacancies.aau.dk/scientific-positions,hub
IAEA,Austria,,https://iaea.taleo.net/careersection/ex/jobsearch.ftl,javascript
OECD IEA,France,Paris,https://careers.smartrecruiters.com/OECD/iea,html
RMI,United States,,https://rockymountain.wd1.myworkdayjobs.com/en-US/RMI,javascript
Careers@Gov,Singapore,Singapore,https://jobs.careers.gov.sg/,html
Ramboll,Denmark,,https://www.ramboll.com/careers,javascript
AIT,Austria,Vienna,https://jobs.ait.ac.at/Jobs,javascript
CSH,Austria,Vienna,https://csh.ac.at/engage/jobs/,html
IIASA,Austria,Laxenburg,https://iiasa.ac.at/employment/job-openings,html
DTU,Denmark,Kgs. Lyngby,https://efzu.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/jobs,javascript
